"","Name","Sex","Count2015","Count2016","total"
"477","Addysyn","F",8,8,16
"478","Ade","M",11,15,26
"479","Adea","F",7,10,17
"480","Adebayo","M",6,8,14
"481","Adedamola","M",13,8,21
"482","Adedayo","M",11,8,19
"483","Adeeb","M",14,12,26
"484","Adeel","M",5,12,17
"485","Adeena","F",13,21,34
"486","Adel","F",24,16,40
"487","Adel","M",41,39,80
"488","Adela","F",226,202,428
"489","Adelae","F",10,13,23
"490","Adelai","F",15,16,31
"491","Adelaida","F",46,48,94
"492","Adelaide","F",1157,1227,2384
"493","Adelaine","F",22,28,50
"494","Adelay","F",5,5,10
"495","Adelaya","F",5,5,10
"496","Adelayda","F",6,5,11
"497","Adelayde","F",6,7,13
"498","Adele","F",442,443,885
"499","Adelei","F",8,5,13
"500","Adeleigh","F",11,9,20
"501","Adeleine","F",30,29,59
"502","Adelena","F",22,33,55
"503","Adelene","F",32,28,60
"504","Adelheid","F",10,16,26
"505","Adelia","F",83,91,174
"506","Adelie","F",40,35,75
"507","Adelin","F",43,40,83
"508","Adelina","F",569,624,1193
"509","Adelind","F",10,12,22
"510","Adeline","F",2403,4103,6506
"511","Adelinne","F",6,9,15
"512","Adelis","F",5,6,11
"513","Adelise","F",35,20,55
"514","Adelita","F",16,17,33
"515","Adeliz","F",8,6,14
"516","Adell","F",9,13,22
"517","Adella","F",70,69,139
"518","Adelle","F",85,84,169
"519","Adellyn","F",10,6,16
"520","Adely","F",9,17,26
"521","Adelyn","F",1677,1659,3336
"522","Adelyna","F",14,14,28
"523","Adelyne","F",56,84,140
"524","Adelynn","F",1138,1123,2261
"525","Adelynne","F",76,59,135
"526","Adem","M",49,48,97
"527","Ademide","M",7,12,19
"528","Ademola","M",7,8,15
"529","Aden","F",15,21,36
"530","Aden","M",867,692,1559
"531","Adena","F",11,11,22
"532","Adeola","F",15,12,27
"533","Adeoluwa","M",7,5,12
"534","Adesewa","F",7,5,12
"535","Adessa","F",16,21,37
"536","Adesuwa","F",6,10,16
"537","Adewale","M",5,8,13
"538","Adham","M",23,33,56
"539","Adhara","F",10,10,20
"540","Adhav","M",6,5,11
"541","Adhira","F",13,34,47
"542","Adhiraj","M",5,7,12
"543","Adhithi","F",8,5,13
"544","Adhrit","M",32,32,64
"545","Adhrith","M",7,5,12
"546","Adhvaith","M",5,5,10
"547","Adhvik","M",36,73,109
"548","Adhvika","F",11,11,22
"549","Adhya","F",36,32,68
"550","Adhyan","M",6,5,11
"551","Adi","F",24,38,62
"552","Adi","M",28,21,49
"553","Adia","F",68,50,118
"554","Adian","M",36,27,63
"555","Adiana","F",8,7,15
"556","Adianna","F",13,6,19
"557","Adib","M",5,8,13
"558","Adiba","F",10,13,23
"559","Adiel","F",5,6,11
"560","Adiel","M",130,166,296
"561","Adiela","F",10,6,16
"562","Adiella","F",6,10,16
"563","Adien","M",26,18,44
"564","Adil","M",46,34,80
"565","Adila","F",6,7,13
"566","Adilee","F",26,19,45
"567","Adileigh","F",7,10,17
"568","Adilena","F",5,6,11
"569","Adilene","F",221,215,436
"570","Adilenne","F",12,10,22
"571","Adileny","F",6,15,21
"572","Adiley","F",6,6,12
"573","Adilyn","F",217,224,441
"574","Adilynn","F",347,271,618
"575","Adilynne","F",8,18,26
"576","Adin","M",79,80,159
"577","Adina","F",135,136,271
"578","Adir","M",18,13,31
"579","Adira","F",62,69,131
"580","Adis","M",6,6,12
"581","Adison","F",62,65,127
"582","Adisyn","F",42,28,70
"583","Adit","M",12,6,18
"584","Adith","M",8,13,21
"585","Adithi","F",20,16,36
"586","Adithya","M",20,18,38
"587","Aditi","F",104,129,233
"588","Aditri","F",19,16,35
"589","Aditya","M",159,157,316
"590","Adiya","F",19,14,33
"591","Adiyah","F",6,7,13
"592","Adlai","M",18,9,27
"593","Adlee","F",74,81,155
"594","Adleigh","F",108,88,196
"595","Adlen","F",6,6,12
"596","Adler","F",22,27,49
"597","Adler","M",154,169,323
"598","Adley","F",337,482,819
"599","Adley","M",10,17,27
"600","Adlie","F",7,14,21
"601","Adlin","F",7,6,13
"602","Adlyn","F",13,13,26
"603","Adlynn","F",8,11,19
"604","Adna","F",29,12,41
"605","Adnaan","M",6,6,12
"606","Adnan","M",86,66,152
"607","Adolfo","M",155,132,287
"608","Adolphus","M",6,7,13
"609","Adom","M",11,8,19
"610","Adon","M",49,33,82
"611","Adonai","F",5,12,17
"612","Adonai","M",64,59,123
"613","Adonay","M",20,20,40
"614","Adonia","F",6,6,12
"615","Adoniah","M",6,5,11
"616","Adonias","M",26,13,39
"617","Adonijah","M",22,12,34
"618","Adonis","M",357,800,1157
"619","Adonnis","M",13,23,36
"620","Adora","F",37,53,90
"621","Adorable","F",5,5,10
"622","Adore","F",36,42,78
"623","Adorian","M",6,9,15
"624","Adrain","M",15,25,40
"625","Adream","F",6,7,13
"626","Adrean","M",19,6,25
"627","Adreana","F",12,9,21
"628","Adreanna","F",23,14,37
"629","Adri","F",13,13,26
"630","Adria","F",73,60,133
"631","Adrian","F",83,107,190
"632","Adrian","M",6513,6303,12816
"633","Adriana","F",1723,1489,3212
"634","Adriane","F",12,11,23
"635","Adriann","F",6,10,16
"636","Adrianna","F",1098,947,2045
"637","Adriannah","F",9,6,15
"638","Adrianne","F",68,60,128
"639","Adriano","M",59,75,134
"640","Adric","M",18,15,33
"641","Adrick","M",12,8,20
"642","Adrie","F",13,13,26
"643","Adriel","F",47,37,84
"644","Adriel","M",1286,1593,2879
"645","Adriell","M",8,6,14
"646","Adriella","F",10,13,23
"647","Adrielle","F",53,65,118
"648","Adrien","F",12,10,22
"649","Adrien","M",261,245,506
"650","Adriene","F",7,8,15
"651","Adrienna","F",9,10,19
"652","Adrienne","F",327,340,667
"653","Adrijana","F",7,5,12
"654","Adrik","M",16,22,38
"655","Adrika","F",6,12,18
"656","Adrina","F",49,33,82
"657","Adrion","M",17,18,35
"658","Adrionna","F",9,20,29
"659","Adrita","F",8,9,17
"660","Adriyanna","F",6,7,13
"661","Adryan","M",63,51,114
"662","Adryana","F",13,15,28
"663","Adryanna","F",14,13,27
"664","Adryel","M",13,9,22
"665","Adut","F",6,5,11
"666","Advait","M",35,35,70
"667","Advaita","F",9,7,16
"668","Advaith","M",43,56,99
"669","Advay","M",32,30,62
"670","Advik","M",93,124,217
"671","Advika","F",40,73,113
"672","Advit","M",11,16,27
"673","Advita","F",8,7,15
"674","Advith","M",21,23,44
"675","Advitha","F",5,8,13
"676","Adya","F",24,17,41
"677","Adyan","M",19,44,63
"678","Adyen","M",7,9,16
"679","Adylee","F",11,10,21
"680","Adylen","F",5,6,11
"681","Adylene","F",13,15,28
"682","Adylin","F",15,14,29
"683","Adyline","F",7,20,27
"684","Adylyn","F",12,5,17
"685","Adylynn","F",12,7,19
"686","Adyn","M",59,39,98
"687","Adysen","F",31,19,50
"688","Adyson","F",129,106,235
"689","Aedan","M",167,162,329
"690","Aeden","M",44,34,78
"691","Aedin","M",6,5,11
"692","Aedyn","F",8,6,14
"693","Aedyn","M",20,26,46
"694","Aela","F",35,34,69
"695","Aeliana","F",18,19,37
"696","Aella","F",20,22,42
"697","Aelyn","F",5,5,10
"698","Aemilia","F",14,13,27
"699","Aemon","M",10,13,23
"700","Aeneas","M",11,7,18
"701","Aengus","M",9,18,27
"702","Aeon","M",12,16,28
"703","Aerabella","F",24,19,43
"704","Aerial","F",36,18,54
"705","Aeriana","F",17,9,26
"706","Aerianna","F",12,7,19
"707","Aeric","M",7,10,17
"708","Aerie","F",10,8,18
"709","Aeriel","F",11,8,19
"710","Aeriella","F",10,5,15
"711","Aerilyn","F",25,32,57
"712","Aerin","F",18,27,45
"713","Aerion","M",10,8,18
"714","Aeris","F",96,96,192
"715","Aerith","F",20,28,48
"716","Aero","F",10,5,15
"717","Aero","M",34,30,64
"718","Aeron","M",20,19,39
"719","Aeryn","F",43,49,92
"720","Aeson","M",29,40,69
"721","Aesop","M",6,6,12
"722","Aeva","F",30,28,58
"723","Aevah","F",7,9,16
"724","Affan","M",39,29,68
"725","Afia","F",23,11,34
"726","Afifa","F",7,11,18
"727","Afiya","F",7,5,12
"728","Afnan","F",27,23,50
"729","Afnan","M",8,15,23
"730","Afomia","F",14,12,26
"731","Afrah","F",13,11,24
"732","Afreen","F",5,8,13
"733","Africa","F",9,10,19
"734","Afsa","F",9,7,16
"735","Afsheen","F",8,10,18
"736","Afton","F",96,83,179
"737","Afton","M",7,16,23
"738","Aftyn","F",12,12,24
"739","Agam","F",8,6,14
"740","Agam","M",18,43,61
"741","Agamjot","M",10,7,17
"742","Agamveer","M",6,6,12
"743","Agasthya","M",8,10,18
"744","Agastya","M",76,63,139
"745","Agata","F",9,16,25
"746","Agatha","F",87,76,163
"747","Aggie","F",6,6,12
"748","Agnes","F",190,229,419
"749","Agostino","M",5,6,11
"750","Agustin","M",224,210,434
"751","Agustina","F",18,14,32
"752","Agustine","M",6,7,13
"753","Ahaan","M",62,56,118
"754","Ahaana","F",15,11,26
"755","Ahad","M",28,20,48
"756","Ahadu","M",7,8,15
"757","Ahan","M",15,13,28
"758","Ahana","F",63,64,127
"759","Aharon","M",85,75,160
"760","Ahava","F",18,17,35
"761","Ahavah","F",8,7,15
"762","Ahdia","F",7,7,14
"763","Ahil","M",9,16,25
"764","Ahilyn","F",7,6,13
"765","Ahkeem","M",17,14,31
"766","Ahking","M",7,6,13
"767","Ahlam","F",42,38,80
"768","Ahlana","F",9,11,20
"769","Ahlani","F",16,28,44
"770","Ahlaya","F",14,14,28
"771","Ahlayah","F",14,7,21
"772","Ahleah","F",7,8,15
"773","Ahlina","F",9,7,16
"774","Ahliyah","F",9,14,23
"775","Ahmaad","M",9,10,19
"776","Ahmad","M",496,465,961
"777","Ahmadou","M",11,6,17
"778","Ahmani","F",16,16,32
"779","Ahmar","M",16,14,30
"780","Ahmari","F",15,17,32
"781","Ahmari","M",69,68,137
"782","Ahmaya","F",6,10,16
"783","Ahmed","M",588,579,1167
"784","Ahmeer","M",9,8,17
"785","Ahmeir","M",7,10,17
"786","Ahmere","M",12,15,27
"787","Ahmet","M",38,27,65
"788","Ahmia","F",13,14,27
"789","Ahmier","M",13,8,21
"790","Ahmina","F",9,11,20
"791","Ahmir","M",189,218,407
"792","Ahmira","F",10,9,19
"793","Ahmiracle","F",7,11,18
"794","Ahmirah","F",10,5,15
"795","Ahmire","M",5,6,11
"796","Ahmiya","F",13,13,26
"797","Ahmiyah","F",21,16,37
"798","Ahmod","M",7,7,14
"799","Ahmoni","F",9,5,14
"800","Ahmya","F",19,15,34
"801","Ahmyah","F",7,8,15
"802","Ahna","F",52,47,99
"803","Ahnaf","M",18,24,42
"804","Ahnalia","F",7,5,12
"805","Ahnesti","F",5,7,12
"806","Ahnesty","F",8,6,14
"807","Ahni","F",7,8,15
"808","Ahnika","F",5,14,19
"809","Ahniya","F",9,7,16
"810","Ahniyah","F",14,9,23
"811","Ahnna","F",11,11,22
"812","Ahnya","F",7,5,12
"813","Ahnyla","F",8,8,16
"814","Ahonesty","F",7,11,18
"815","Ahren","M",19,23,42
"816","Ahri","F",44,44,88
"817","Ahria","F",18,20,38
"818","Ahrianna","F",15,6,21
"819","Ahriya","F",12,8,20
"820","Ahriyah","F",12,12,24
"821","Ahron","M",45,45,90
"822","Ahsan","M",26,18,44
"823","Ahsha","F",15,21,36
"824","Ahsoka","F",5,5,10
"825","Ahtziri","F",31,34,65
"826","Ahtziry","F",5,9,14
"827","Ahuva","F",62,77,139
"828","Ahyan","M",19,35,54
